r,product
0.5,1.1361927068396842e-22
1.5,4.1491546483326536e-22
2.5,2.6808912608420163e-21
3.5,1.5688942960524574e-20
4.5,8.981207072799088e-20
5.5,5.408907443801461e-19
6.5,3.4135409094789464e-18
7.5,1.6689224884949007e-17
8.5,1.0566619757340203e-16
9.5,5.286679962870851e-16
10.5,2.4572917551651214e-15
11.5,1.2158295819936903e-14
12.5,4.8685102300587784e-14
13.5,2.5432703911093504e-13
14.5,1.0808185700724427e-12
15.5,4.2211684372914614e-12
16.5,1.63321711971596e-11
17.5,6.099619516298357e-11
18.5,2.4396291965338696e-10
19.5,8.363778185241805e-10
20.5,2.808873957747401e-09
21.5,9.216648823939255e-09
22.5,2.903930098511679e-08
23.5,8.63075375190041e-08
24.5,2.4304674221798534e-07
25.5,7.029090852485357e-07
26.5,2.030604363278463e-06
27.5,5.41316146835116e-06
28.5,1.2694625521814353e-05
29.5,3.183231415327416e-05
30.5,7.678405288941514e-05
31.5,0.00017884856783014643
32.5,0.0003978561751487212
33.5,0.0008555054300863247
34.5,0.0018074848270643172
35.5,0.003477973732850216
36.5,0.006726683761184841
37.5,0.012292615775940006
38.5,0.021379112419712215
39.5,0.03501983782454127
40.5,0.05303363119578821
41.5,0.07419714145181988
42.5,0.09821736649993258
43.5,0.12457834026541824
44.5,0.14962567881643568
45.5,0.17213860626178631
46.5,0.19425286521896912
47.5,0.21501432892285496
48.5,0.2330927579503146
49.5,0.24934835517927895
50.5,0.2638159256124237
51.5,0.27503176329068046
52.5,0.28255450099022195
53.5,0.2872583493746666
54.5,0.2881172809897681
55.5,0.28412759512379476
56.5,0.2753807362884991
57.5,0.26149690687968524
58.5,0.24161697792204326
59.5,0.21531521986876137
60.5,0.1821461521106598
61.5,0.1443952466578718
62.5,0.10812394245108409
63.5,0.07812495064137098
64.5,0.05516532526774083
65.5,0.03807787809438631
66.5,0.025856123590210753
67.5,0.017419337998565525
68.5,0.011385915902938063
69.5,0.007304808748699532
70.5,0.004673076390310388
71.5,0.002928928605709743
72.5,0.0017723063819685026
73.5,0.0010451345296375342
74.5,0.0006088141434991178
75.5,0.00034769071369174394
76.5,0.00019350557195093736
77.5,0.00010467802254078872
78.5,5.618889468379692e-05
79.5,2.924473705624227e-05
80.5,1.4799746265199804e-05
81.5,7.304483954374448e-06
82.5,3.466574545028491e-06
83.5,1.62930626079434e-06
84.5,7.465194525227711e-07
85.5,3.2937035534724217e-07
86.5,1.3938791923650788e-07
87.5,5.793393793742759e-08
88.5,2.427825165896349e-08
89.5,9.357265024501423e-09
90.5,3.5308871533597896e-09
91.5,1.3254953297923161e-09
92.5,4.697101365865655e-10
93.5,1.6452317404554206e-10
94.5,5.356062269027859e-11
95.5,1.766061171309062e-11
96.5,5.557880542080644e-12
97.5,1.6698133005515102e-12
98.5,4.931848713683693e-13
99.5,1.297740711255776e-13
100.5,3.6580674845921195e-14
101.5,9.171657866073895e-15
102.5,2.269181164359976e-15
103.5,5.648248027412864e-16
104.5,1.290527473437045e-16
105.5,3.021831542159445e-17
106.5,5.918713294100181e-18
107.5,1.2779863804872583e-18
108.5,2.537660099571305e-19
109.5,4.8487419658985625e-20
110.5,8.966147298878356e-21
111.5,1.5357941283618867e-21
112.5,2.5185199985527694e-22
113.5,3.9875321155371163e-23
114.5,5.554417541176866e-24
115.5,7.94140458423801e-25
116.5,1.0987686877157973e-25
117.5,1.3830130426819544e-26
118.5,1.6418593014230465e-27
119.5,1.8518480034330977e-28
120.5,1.9826604010613985e-29
121.5,2.0004940578913814e-30
122.5,1.7465011526525744e-31
123.5,1.3520946741809387e-32
124.5,1.122512511112746e-33
125.5,7.443118165365617e-35
126.5,4.9498628806517426e-36
127.5,2.6207968552893263e-37
128.5,1.2704951994976674e-38
129.5,5.5815520018004e-40
130.5,1.930239293641179e-41
131.5,6.065205716483353e-43
132.5,1.3630263996229387e-44
133.5,2.468379884090373e-46
134.5,3.045329397885981e-48
135.5,1.5913237360602219e-50
136.5,0.0
137.5,0.0
138.5,0.0
139.5,0.0
140.5,0.0
141.5,0.0
142.5,0.0
143.5,0.0
144.5,0.0
145.5,0.0
146.5,0.0
147.5,0.0
148.5,0.0
149.5,0.0
150.5,0.0
151.5,0.0
152.5,0.0
153.5,0.0
154.5,0.0
155.5,0.0
156.5,0.0
157.5,0.0
158.5,0.0
159.5,0.0
160.5,0.0
161.5,0.0
162.5,0.0
163.5,0.0
164.5,0.0
165.5,0.0
166.5,0.0
167.5,0.0
168.5,0.0
169.5,0.0
170.5,0.0
171.5,0.0
172.5,0.0
173.5,0.0
174.5,0.0
175.5,0.0
176.5,0.0
177.5,0.0
178.5,0.0
179.5,0.0
180.5,0.0
181.5,0.0
182.5,0.0
183.5,0.0
184.5,0.0
185.5,0.0
186.5,0.0
187.5,0.0
188.5,0.0
189.5,0.0
190.5,0.0
191.5,0.0
192.5,0.0
193.5,0.0
194.5,0.0
195.5,0.0
196.5,0.0
197.5,0.0
198.5,0.0
199.5,0.0
200.5,0.0
201.5,0.0
202.5,0.0
203.5,0.0
204.5,0.0
205.5,0.0
206.5,0.0
207.5,0.0
208.5,0.0
209.5,0.0
210.5,0.0
211.5,0.0
212.5,0.0
213.5,0.0
214.5,0.0
215.5,0.0
216.5,0.0
217.5,0.0
218.5,0.0
219.5,0.0
220.5,0.0
221.5,0.0
222.5,0.0
223.5,0.0
224.5,0.0
225.5,0.0
226.5,0.0
227.5,0.0
228.5,0.0
229.5,0.0
230.5,0.0
231.5,0.0
232.5,0.0
233.5,0.0
234.5,0.0
235.5,0.0
236.5,0.0
237.5,0.0
238.5,0.0
239.5,0.0
240.5,0.0
241.5,0.0
242.5,0.0
243.5,0.0
244.5,0.0
245.5,0.0
246.5,0.0
247.5,0.0
248.5,0.0
249.5,0.0
250.5,0.0
251.5,0.0
252.5,0.0
253.5,0.0
254.5,0.0
255.5,0.0
256.5,0.0
257.5,0.0
258.5,0.0
259.5,0.0
260.5,0.0
261.5,0.0
262.5,0.0
263.5,0.0
264.5,0.0
265.5,0.0
266.5,0.0
267.5,0.0
268.5,0.0
269.5,0.0
270.5,0.0
271.5,0.0
272.5,0.0
273.5,0.0
