r,product
0.5,3.6776666926898084e-11
1.5,5.1872019758823563e-11
2.5,1.0676172959551135e-10
3.5,2.2434084458917078e-10
4.5,4.695949889716634e-10
5.5,1.1538827009576942e-09
6.5,2.664735629966242e-09
7.5,5.935229115092282e-09
8.5,1.3887057901200061e-08
9.5,3.1074040773422056e-08
10.5,6.698359875177346e-08
11.5,1.3932974528992942e-07
12.5,2.929007075108957e-07
13.5,6.58426380715663e-07
14.5,1.362209991483788e-06
15.5,2.705017876594506e-06
16.5,5.386762906370186e-06
17.5,1.0593564574378015e-05
18.5,2.1134421082103056e-05
19.5,4.079684058245807e-05
20.5,7.569729048262006e-05
21.5,0.00014158559021713
22.5,0.00025816522624830734
23.5,0.00045802465218616544
24.5,0.0007915509387413515
25.5,0.001393404909208998
26.5,0.002476384773961361
27.5,0.004161864069466825
28.5,0.0066378540144878435
29.5,0.010958474769462781
30.5,0.01760271608006838
31.5,0.027566090434205284
32.5,0.041719488722773104
33.5,0.06095680589069618
34.5,0.0857899016762706
35.5,0.11405704925194365
36.5,0.14681020697657965
37.5,0.18080212507542445
38.5,0.2160242237686689
39.5,0.25125345906511654
40.5,0.28415261616692006
41.5,0.31512551145927453
42.5,0.34532376881352567
43.5,0.3746021674768135
44.5,0.40074135528425503
45.5,0.42325403368458997
46.5,0.4442198153370573
47.5,0.462951397644447
48.5,0.47844150218320836
49.5,0.4912835368968378
50.5,0.5013575718367927
51.5,0.5075903432730235
52.5,0.5097180879922997
53.5,0.5085093996374133
54.5,0.502919445592698
55.5,0.4922913791701842
56.5,0.4768631218052605
57.5,0.45678627343274075
58.5,0.4315478039320213
59.5,0.4005330528222468
60.5,0.363450252018334
61.5,0.31952946727877884
62.5,0.27089795839770137
63.5,0.2204784701029516
64.5,0.17322867876032683
65.5,0.13201422784348363
66.5,0.09885009809300549
67.5,0.07377866642708573
68.5,0.054065631474664554
69.5,0.03932762506180349
70.5,0.0286886414673018
71.5,0.020671314479348713
72.5,0.014639038229022301
73.5,0.010213886346916905
74.5,0.007101209960671459
75.5,0.004899555436836784
76.5,0.003332249245471789
77.5,0.0022375531965468268
78.5,0.0014950849457462507
79.5,0.000988478219804195
80.5,0.0006413699942197816
81.5,0.0004115337656819996
82.5,0.0002599623745579926
83.5,0.00016300148688138305
84.5,0.0001012788919087249
85.5,6.154611389465389e-05
86.5,3.6738540078385307e-05
87.5,2.180591801636599e-05
88.5,1.2965465423407673e-05
89.5,7.4485012463297495e-06
90.5,4.202606911811447e-06
91.5,2.3763888591757718e-06
92.5,1.3146023105276604e-06
93.5,7.185831800620435e-07
94.5,3.833895599339767e-07
95.5,2.0385710174465622e-07
96.5,1.0704493526544346e-07
97.5,5.4769522681112216e-08
98.5,2.7666823263633084e-08
99.5,1.3583862829079854e-08
100.5,6.6882685823316286e-09
101.5,3.203898120949526e-09
102.5,1.5035162811341688e-09
103.5,7.061025597334064e-10
104.5,3.260947972166836e-10
105.5,1.4873722444180688e-10
106.5,6.440139655507514e-11
107.5,2.8006531132238404e-11
108.5,1.2052942579790699e-11
109.5,5.149118829553693e-12
110.5,2.14398845660812e-12
111.5,8.619740494165379e-13
112.5,3.4249905208029433e-13
113.5,1.3276182787913574e-13
114.5,5.0817007169296525e-14
115.5,1.884383109610618e-14
116.5,7.017077079263317e-15
117.5,2.603813196886156e-15
118.5,9.142642681264053e-16
119.5,3.195830344036774e-16
120.5,1.0923500653990283e-16
121.5,3.798903989761323e-17
122.5,1.2790367445658143e-17
123.5,3.8627979745330626e-18
124.5,1.2465161536125248e-18
125.5,3.8270386277216705e-19
126.5,1.2064663356498455e-19
127.5,3.552301445081168e-20
128.5,1.0302743684530095e-20
129.5,3.0607321162414336e-21
130.5,8.221495347533571e-22
131.5,2.3245953429237633e-22
132.5,6.083582303512363e-23
133.5,1.5877027667728437e-23
134.5,4.2837556881515104e-24
135.5,1.0244327087187173e-24
136.5,2.647157156135184e-25
137.5,6.219940238480315e-26
138.5,1.532343543864639e-26
139.5,3.597019394471789e-27
140.5,7.724825468356775e-28
141.5,1.8238107065015913e-28
142.5,3.803355542120769e-29
143.5,8.143074244558549e-30
144.5,1.6714239302791973e-30
145.5,3.380278734755565e-31
146.5,6.42147458962344e-32
147.5,1.214908927445083e-32
148.5,2.193850533931869e-33
149.5,4.072569867800088e-34
150.5,7.198339257541247e-35
151.5,1.2999748752480206e-35
152.5,2.0146162789929704e-36
153.5,3.422708391915926e-37
154.5,5.139236122473997e-38
155.5,8.257047861338615e-39
156.5,1.1966243869782251e-39
157.5,1.6701340244564129e-40
158.5,2.4084072612521734e-41
159.5,3.1200985008428617e-42
160.5,4.059952575702296e-43
161.5,4.855443859138528e-44
162.5,6.046990873722768e-45
163.5,6.890190460297546e-46
164.5,7.453126040816288e-47
165.5,8.016818218494458e-48
166.5,7.959035923009991e-49
167.5,8.205515113181647e-50
168.5,7.830661338089469e-51
169.5,6.5434398763850336e-52
170.5,5.758733595642635e-53
171.5,4.616573083008716e-54
172.5,3.636859271094873e-55
173.5,2.532714029100678e-56
174.5,1.7607468594845916e-57
175.5,1.1659634183050675e-58
176.5,6.90871121685982e-60
177.5,3.999266336256974e-61
178.5,1.989882602542183e-62
179.5,9.780607117279032e-64
180.5,4.50035927161656e-65
181.5,1.772700330000499e-66
182.5,6.377123755061464e-68
183.5,2.099450322364162e-69
184.5,6.471948735258624e-71
185.5,1.576345864253148e-72
186.5,3.3295412165858567e-74
187.5,6.132470171600079e-76
188.5,8.67849298527185e-78
189.5,9.368849286797967e-80
190.5,6.470401084836356e-82
191.5,2.196257874880656e-84
192.5,0.0
193.5,0.0
194.5,0.0
195.5,0.0
196.5,0.0
197.5,0.0
198.5,0.0
199.5,0.0
200.5,0.0
201.5,0.0
202.5,0.0
203.5,0.0
204.5,0.0
205.5,0.0
206.5,0.0
207.5,0.0
208.5,0.0
209.5,0.0
210.5,0.0
211.5,0.0
212.5,0.0
213.5,0.0
214.5,0.0
215.5,0.0
216.5,0.0
217.5,0.0
218.5,0.0
219.5,0.0
220.5,0.0
221.5,0.0
222.5,0.0
223.5,0.0
224.5,0.0
225.5,0.0
226.5,0.0
227.5,0.0
228.5,0.0
229.5,0.0
230.5,0.0
231.5,0.0
232.5,0.0
233.5,0.0
234.5,0.0
235.5,0.0
236.5,0.0
237.5,0.0
238.5,0.0
239.5,0.0
240.5,0.0
241.5,0.0
242.5,0.0
243.5,0.0
244.5,0.0
245.5,0.0
246.5,0.0
247.5,0.0
248.5,0.0
249.5,0.0
250.5,0.0
251.5,0.0
252.5,0.0
253.5,0.0
254.5,0.0
255.5,0.0
256.5,0.0
257.5,0.0
258.5,0.0
259.5,0.0
260.5,0.0
261.5,0.0
262.5,0.0
263.5,0.0
264.5,0.0
265.5,0.0
266.5,0.0
267.5,0.0
268.5,0.0
269.5,0.0
270.5,0.0
271.5,0.0
272.5,0.0
273.5,0.0
274.5,0.0
275.5,0.0
276.5,0.0
277.5,0.0
278.5,0.0
279.5,0.0
280.5,0.0
281.5,0.0
