r,product
0.5,2.8034080260404924e-07
1.5,3.269951461591348e-07
2.5,4.776275459064834e-07
3.5,7.293870427623967e-07
4.5,1.1557242266963003e-06
5.5,2.034437631327906e-06
6.5,3.4165100992445983e-06
7.5,5.84365231265165e-06
8.5,1.0245296252788192e-05
9.5,1.7129492712333425e-05
10.5,2.86652141027165e-05
11.5,4.730760189360472e-05
12.5,7.723605128969838e-05
13.5,0.00013090839860806038
14.5,0.0002172308523617079
15.5,0.0003457435768530154
16.5,0.0005422449604874133
17.5,0.000862530557542049
18.5,0.0013926507665722148
19.5,0.002152052356691721
20.5,0.00325385843883549
21.5,0.005067555900590307
22.5,0.007585900898437172
23.5,0.011073411765580972
24.5,0.016252102164609063
25.5,0.02399158113312872
26.5,0.03508985694068512
27.5,0.0497404378737992
28.5,0.06930883423668008
29.5,0.09559219455290503
30.5,0.1292872814445185
31.5,0.16979310602029557
32.5,0.21208811913914985
33.5,0.2546456984577017
34.5,0.2990525578403743
35.5,0.34234838896572223
36.5,0.38241607476980743
37.5,0.42238933302736553
38.5,0.4618947275737144
39.5,0.4988238615351051
40.5,0.5312892389231606
41.5,0.5633077902745237
42.5,0.5933115721735859
43.5,0.6202299082167314
44.5,0.6448896771907953
45.5,0.6661744314541393
46.5,0.6842322476515418
47.5,0.6998495560569984
48.5,0.712764688368375
49.5,0.72220647916961
50.5,0.7279831844429238
51.5,0.7300989646483134
52.5,0.7286427884370943
53.5,0.7228093032189852
54.5,0.7130732355246853
55.5,0.6986785431598578
56.5,0.6795487873409002
57.5,0.6560126067183641
58.5,0.6282930394936326
59.5,0.5955198701362031
60.5,0.5571782066533247
61.5,0.5127780526570629
62.5,0.46412536846646596
63.5,0.41047505620653096
64.5,0.3529963333040124
65.5,0.29296454383841736
66.5,0.23508124069854394
67.5,0.1849456935991088
68.5,0.14208588793924762
69.5,0.10854842849688842
70.5,0.08318322742434914
71.5,0.06325015689275001
72.5,0.04755062060646805
73.5,0.03539115819266563
74.5,0.026310394058191734
75.5,0.019510216828173988
76.5,0.01433431556768361
77.5,0.010442556701936763
78.5,0.007585915289017324
79.5,0.005492159168517478
80.5,0.003917013203465921
81.5,0.0027732182320820923
82.5,0.0019503755133623295
83.5,0.0013630803562403751
84.5,0.0009474058265719786
85.5,0.0006486595922535894
86.5,0.0004396608833783444
87.5,0.00029703180897500494
88.5,0.00020063585346252332
89.5,0.00013309125788990754
90.5,8.697471548074777e-05
91.5,5.684113836902302e-05
92.5,3.680908689087132e-05
93.5,2.3608015619647684e-05
94.5,1.4895538117773701e-05
95.5,9.375819301327586e-06
96.5,5.884351791500492e-06
97.5,3.6147705051835103e-06
98.5,2.193049515004411e-06
99.5,1.3238103602383602e-06
100.5,7.927951938362229e-07
101.5,4.672289111291622e-07
102.5,2.71876104341419e-07
103.5,1.5899882238954897e-07
104.5,9.178522342365413e-08
105.5,5.219391592319109e-08
106.5,2.9217462864894742e-08
107.5,1.615124328133652e-08
108.5,8.89846687572912e-09
109.5,4.909931530649133e-09
110.5,2.660480489782055e-09
111.5,1.4040836068558994e-09
112.5,7.368744910983768e-10
113.5,3.836798613408574e-10
114.5,1.96710000025129e-10
115.5,9.858414578066131e-11
116.5,5.024680260390812e-11
117.5,2.5305150714541105e-11
118.5,1.2304845699882635e-11
119.5,5.9921947950045905e-12
120.5,2.870667613137233e-12
121.5,1.3901504919600615e-12
122.5,6.592813901032082e-13
123.5,2.9724577289023193e-13
124.5,1.36112579213824e-13
125.5,6.117640130930533e-14
126.5,2.7927094587790074e-14
127.5,1.237656683000332e-14
128.5,5.3140637389504146e-15
129.5,2.326132387917594e-15
130.5,9.794759619247362e-16
131.5,4.153263277590498e-16
132.5,1.6967547685104703e-16
133.5,6.855023238012037e-17
134.5,2.846526638656695e-17
135.5,1.1200035245007479e-17
136.5,4.467639621487889e-18
137.5,1.7033940904290249e-18
138.5,6.6590881638642175e-19
139.5,2.5665380889877776e-19
140.5,9.331783581450862e-20
141.5,3.555111892055858e-20
142.5,1.2662703765600287e-20
143.5,4.637862574285651e-21
144.5,1.6293469735308228e-21
145.5,5.680665935267481e-22
146.5,1.9598918938923936e-22
147.5,6.587502269872196e-23
148.5,2.238823368860204e-23
149.5,7.281586855202403e-24
150.5,2.4088171590799305e-24
151.5,8.030829402228733e-25
152.5,2.4428629144302837e-25
153.5,8.004784645275264e-26
154.5,2.4336032604653672e-26
155.5,7.500057432511016e-27
156.5,2.2521638449536722e-27
157.5,6.571204526083004e-28
158.5,1.9729312605320317e-28
159.5,5.618583428944835e-29
160.5,1.6302824785891754e-29
161.5,4.4574814364923464e-30
162.5,1.2437752216344692e-30
163.5,3.3809795679063518e-31
164.5,8.93907302183476e-32
165.5,2.3506936996086812e-32
166.5,6.000029044249334e-33
167.5,1.616658104023301e-33
168.5,4.1740889574806694e-34
169.5,9.841717470903244e-35
170.5,2.515340634056024e-35
171.5,5.8737477233557886e-36
172.5,1.4388462924825074e-36
173.5,3.1937170525660107e-37
174.5,7.282670348577031e-38
175.5,1.7148320981702208e-38
176.5,3.7308166964624174e-39
177.5,8.49233581537128e-40
178.5,1.7442786986112549e-40
179.5,3.7556176296818835e-41
180.5,7.977945345358846e-42
181.5,1.61046820219729e-42
182.5,3.0728522277785983e-43
183.5,6.014411199447613e-44
184.5,1.177475048196275e-44
185.5,2.1502602751163722e-45
186.5,3.9238416594325824e-46
187.5,7.379918786264314e-47
188.5,1.306853318055742e-47
189.5,2.335749527122597e-48
190.5,3.964221643255844e-49
191.5,6.504897027015124e-50
192.5,1.1302192927067387e-50
193.5,1.7145612980632824e-51
194.5,2.847704133921882e-52
195.5,4.194469446621974e-53
196.5,6.354036750447026e-54
197.5,9.639606052480293e-55
198.5,1.3308757264698761e-55
199.5,1.9520097296303833e-56
200.5,2.7252880102851797e-57
201.5,6.514680068642245e-59
202.5,2.9494876947465026e-60
203.5,1.0982324140296973e-61
204.5,3.066559943062451e-63
205.5,1.1941904664078372e-64
206.5,1.800659357998929e-66
207.5,3.9704043898733975e-68
208.5,3.959998583467429e-70
209.5,7.561284198771649e-72
210.5,1.4356433350737083e-74
211.5,2.0983988726519086e-77
212.5,0.0
213.5,0.0
214.5,0.0
215.5,0.0
216.5,0.0
217.5,0.0
218.5,0.0
219.5,0.0
220.5,0.0
221.5,0.0
222.5,0.0
223.5,0.0
224.5,0.0
225.5,0.0
226.5,0.0
227.5,0.0
228.5,0.0
229.5,0.0
230.5,0.0
231.5,0.0
232.5,0.0
233.5,0.0
234.5,0.0
235.5,0.0
236.5,0.0
237.5,0.0
238.5,0.0
239.5,0.0
240.5,0.0
241.5,0.0
242.5,0.0
243.5,0.0
244.5,0.0
245.5,0.0
246.5,0.0
247.5,0.0
248.5,0.0
249.5,0.0
250.5,0.0
251.5,0.0
252.5,0.0
253.5,0.0
254.5,0.0
255.5,0.0
256.5,0.0
257.5,0.0
258.5,0.0
259.5,0.0
260.5,0.0
261.5,0.0
262.5,0.0
263.5,0.0
264.5,0.0
265.5,0.0
266.5,0.0
267.5,0.0
268.5,0.0
269.5,0.0
270.5,0.0
271.5,0.0
272.5,0.0
273.5,0.0
274.5,0.0
275.5,0.0
276.5,0.0
277.5,0.0
278.5,0.0
279.5,0.0
280.5,0.0
281.5,0.0
