r,product
0.5,9.925551718471523e-16
1.5,1.1379870657373064e-15
2.5,3.5432722460263957e-15
3.5,1.1167346087389544e-14
4.5,3.4292507826359283e-14
5.5,1.2391711431244796e-13
6.5,4.3027578266936337e-13
7.5,1.327585922644705e-12
8.5,4.700446189704934e-12
9.5,1.474624396041568e-11
10.5,4.317086533675792e-11
11.5,1.308421597045433e-10
12.5,3.591773578134914e-10
13.5,1.1211251542644839e-09
14.5,3.210063113131837e-09
15.5,8.495724815897404e-09
16.5,2.1850356762976913e-08
17.5,5.586912277718607e-08
18.5,1.5368518967067917e-07
19.5,3.7277422945962015e-07
20.5,8.599933757493164e-07
21.5,2.1282405415678786e-06
22.5,4.8401924737346045e-06
23.5,1.0386428980600566e-05
24.5,2.242864172320051e-05
25.5,5.009016223817118e-05
26.5,0.00010728341025400477
27.5,0.00021551808262971223
28.5,0.00042794615114622364
29.5,0.0008170057797465903
30.5,0.0015522758958235773
31.5,0.00295414745688777
32.5,0.005388933486623333
33.5,0.009321003944081741
34.5,0.01587823834635
35.5,0.026194666094270066
36.5,0.039939545832455015
37.5,0.05902852378586233
38.5,0.08380768808608392
39.5,0.11164041270843288
40.5,0.13898944731284774
41.5,0.16867490150466025
42.5,0.1982168108543788
43.5,0.2255913993219924
44.5,0.2520709526285221
45.5,0.2761313530660773
46.5,0.2974109415872436
47.5,0.3171411268832354
48.5,0.33502180105604185
49.5,0.35021045122215755
50.5,0.36230054359826475
51.5,0.3713708988061372
52.5,0.37714948633150897
53.5,0.37842107707064715
54.5,0.3763241177000601
55.5,0.3692293725470405
56.5,0.3574026227256128
57.5,0.34014997943605696
58.5,0.3174095612680255
59.5,0.28904019876650233
60.5,0.25285681850209274
61.5,0.21209600347637753
62.5,0.16795277066047196
63.5,0.1278214249008639
64.5,0.09493595066338437
65.5,0.06856615058262235
66.5,0.04925070872699667
67.5,0.03486275861663636
68.5,0.02427528783367029
69.5,0.01670429762005244
70.5,0.01141932281745712
71.5,0.007736006979797826
72.5,0.005096414239395907
73.5,0.0033006276181679283
74.5,0.0021118313592683484
75.5,0.0013406123350995433
76.5,0.0008354598404613719
77.5,0.0005072358697077519
78.5,0.00030777645472372845
79.5,0.00018331808395943822
80.5,0.00010656706640247262
81.5,6.07225832431904e-05
82.5,3.390200591255236e-05
83.5,1.8793725002420947e-05
84.5,1.0144095961057517e-05
85.5,5.376866198549257e-06
86.5,2.7730428977387373e-06
87.5,1.4020642481186894e-06
88.5,7.157641990908622e-07
89.5,3.480062707799375e-07
90.5,1.6549097096736227e-07
91.5,7.767636953847076e-08
92.5,3.580119494527206e-08
93.5,1.6247188818267176e-08
94.5,6.958987490257372e-09
95.5,3.0283078120025454e-09
96.5,1.2891975316931967e-09
97.5,5.262017787480569e-10
98.5,2.0958410158218574e-10
99.5,8.072601761439827e-11
100.5,3.1196409879561916e-11
101.5,1.1368438040620174e-11
102.5,4.098771037562439e-12
103.5,1.4780979652040639e-12
104.5,5.090300136409633e-13
105.5,1.7461678954030309e-13
106.5,5.51818519291111e-14
107.5,1.7729675916848317e-14
108.5,5.473278407821986e-15
109.5,1.6947220028660917e-15
110.5,5.0777780642462505e-16
111.5,1.4167600197454123e-16
112.5,3.9205526166274135e-17
113.5,1.0581601280146203e-17
114.5,2.7238024536044078e-18
115.5,6.755538822117738e-19
116.5,1.7185341139754531e-19
117.5,4.2182068545967265e-20
118.5,9.623594706689965e-21
119.5,2.2038449431921238e-21
120.5,4.917805902847882e-22
121.5,1.1050950837025338e-22
122.5,2.2808992075822362e-23
123.5,4.173996205739591e-24
124.5,8.597229700229889e-25
125.5,1.541218493400935e-25
126.5,3.0161623976303885e-26
127.5,4.972005827290759e-27
128.5,8.623721123599287e-28
129.5,1.4072924029980674e-28
130.5,2.0974145091037137e-29
131.5,3.26387356463791e-30
132.5,4.520904050857643e-31
133.5,6.34081137287071e-32
134.5,8.614705784438117e-33
135.5,1.0136368013278097e-33
136.5,1.2614248730168615e-34
137.5,1.4435676116974068e-35
138.5,1.582862588501435e-36
139.5,1.6867742708482236e-37
140.5,1.5263586803294492e-38
141.5,1.4966577390001887e-39
142.5,1.2437707687487953e-40
143.5,1.0169692766433033e-41
144.5,7.499648265874716e-43
145.5,5.193535267960002e-44
146.5,3.3110385612542684e-45
147.5,1.9486606885765136e-46
148.5,1.0188218992464645e-47
149.5,5.003365615863255e-49
150.5,2.1924326176596127e-50
151.5,8.702204190387158e-52
152.5,2.7645454306729295e-53
153.5,8.122537979415892e-55
154.5,1.823162941374253e-56
155.5,3.554283248334512e-58
156.5,4.875738292063764e-60
157.5,4.291721824690309e-62
158.5,2.072956454983725e-64
159.5,0.0
160.5,0.0
161.5,0.0
162.5,0.0
163.5,0.0
164.5,0.0
165.5,0.0
166.5,0.0
167.5,0.0
168.5,0.0
169.5,0.0
170.5,0.0
171.5,0.0
172.5,0.0
173.5,0.0
174.5,0.0
175.5,0.0
176.5,0.0
177.5,0.0
178.5,0.0
179.5,0.0
180.5,0.0
181.5,0.0
182.5,0.0
183.5,0.0
184.5,0.0
185.5,0.0
186.5,0.0
187.5,0.0
188.5,0.0
189.5,0.0
190.5,0.0
191.5,0.0
192.5,0.0
193.5,0.0
194.5,0.0
195.5,0.0
196.5,0.0
197.5,0.0
198.5,0.0
199.5,0.0
200.5,0.0
201.5,0.0
202.5,0.0
203.5,0.0
204.5,0.0
205.5,0.0
206.5,0.0
207.5,0.0
208.5,0.0
209.5,0.0
210.5,0.0
211.5,0.0
212.5,0.0
213.5,0.0
214.5,0.0
215.5,0.0
216.5,0.0
217.5,0.0
218.5,0.0
219.5,0.0
220.5,0.0
221.5,0.0
222.5,0.0
223.5,0.0
224.5,0.0
225.5,0.0
226.5,0.0
227.5,0.0
228.5,0.0
229.5,0.0
230.5,0.0
231.5,0.0
232.5,0.0
233.5,0.0
234.5,0.0
235.5,0.0
236.5,0.0
237.5,0.0
238.5,0.0
239.5,0.0
240.5,0.0
241.5,0.0
242.5,0.0
243.5,0.0
244.5,0.0
245.5,0.0
246.5,0.0
247.5,0.0
248.5,0.0
249.5,0.0
250.5,0.0
251.5,0.0
252.5,0.0
253.5,0.0
254.5,0.0
255.5,0.0
256.5,0.0
257.5,0.0
258.5,0.0
