r,product
0.5,6.6215287935378785e-12
1.5,7.3197034635676e-12
2.5,1.5689879634820896e-11
3.5,3.5298777208014484e-11
4.5,7.934975977375757e-11
5.5,2.0977643103630432e-10
6.5,5.204862426895383e-10
7.5,1.2364144055819904e-09
8.5,3.1064053885248786e-09
9.5,7.399428493052258e-09
10.5,1.694677142183749e-08
11.5,3.740556436323431e-08
12.5,8.301951003994149e-08
13.5,1.989820284330044e-07
14.5,4.347745530421092e-07
15.5,9.085217256627898e-07
16.5,1.9053073729799723e-06
17.5,3.939770767211862e-06
18.5,8.270809868430694e-06
19.5,1.6733123468868495e-05
20.5,3.250155412471241e-05
21.5,6.354263405846701e-05
22.5,0.00012093799542102345
23.5,0.00022356640776120807
24.5,0.00040159813422041703
25.5,0.0007352983356428482
26.5,0.0013604753331538037
27.5,0.002372334564705483
28.5,0.0039045029527737
29.5,0.006677096544990056
30.5,0.011101138087409038
31.5,0.018011595620853728
32.5,0.028277508082028096
33.5,0.042970498611707944
34.5,0.06304175538099432
35.5,0.08707898652673728
36.5,0.11644429129167141
37.5,0.1480948297034012
38.5,0.1817641952133952
39.5,0.2160559429373385
40.5,0.24847616444275705
41.5,0.2791700605744576
42.5,0.3092465500600843
43.5,0.33857566096326575
44.5,0.3648411572025776
45.5,0.38753767781668164
46.5,0.4087861770110691
47.5,0.42789037123675744
48.5,0.44378102157307864
49.5,0.45713864042872254
50.5,0.4677812481639793
51.5,0.4746622772128173
52.5,0.47747020583821526
53.5,0.476855300454809
54.5,0.47210008748031024
55.5,0.4620374805806683
56.5,0.4475052719181139
57.5,0.42814165810797294
58.5,0.4032560321874207
59.5,0.37296064943224355
60.5,0.33581457698524
61.5,0.29309494126919655
62.5,0.24469961000153703
63.5,0.19589324811253916
64.5,0.15199290890775002
65.5,0.11391689436150726
66.5,0.08485265761619047
67.5,0.06253476503684403
68.5,0.04543056337068011
69.5,0.03271457497195774
70.5,0.023496339098457993
71.5,0.016760451033587753
72.5,0.011667063263737421
73.5,0.008027861142590999
74.5,0.005488714915280653
75.5,0.00372032850101826
76.5,0.002486794353994197
77.5,0.0016353264575694954
78.5,0.0010740621584290134
79.5,0.0006947304267911555
80.5,0.00044140825186882876
81.5,0.00027709277175373524
82.5,0.0001706627468736287
83.5,0.00010457367722515077
84.5,6.326655822907379e-05
85.5,3.747131700583912e-05
86.5,2.1734227264679937e-05
87.5,1.2522240303130415e-05
88.5,7.241510443440879e-06
89.5,4.02471769956767e-06
90.5,2.1998959872835263e-06
91.5,1.2027685741075504e-06
92.5,6.423604513419662e-07
93.5,3.3905257965571393e-07
94.5,1.7383949524066074e-07
95.5,8.908986223152359e-08
96.5,4.4916011606103634e-08
97.5,2.2058921260113502e-08
98.5,1.068683389445574e-08
99.5,5.000931323575018e-09
100.5,2.358258705075824e-09
101.5,1.0755772377053528e-09
102.5,4.810393882126801e-10
103.5,2.1484189730938288e-10
104.5,9.416431005897853e-11
105.5,4.0846453817807474e-11
106.5,1.6649108152401838e-11
107.5,6.859963752387906e-12
108.5,2.782180776123742e-12
109.5,1.1204276330891851e-12
110.5,4.3945511475185693e-13
111.5,1.6528107836120201e-13
112.5,6.157954544518063e-14
113.5,2.2282942495417748e-14
114.5,7.958251455572921e-15
115.5,2.744797129869424e-15
116.5,9.500818960833402e-16
117.5,3.281417419119146e-16
118.5,1.0641189283138478e-16
119.5,3.441846968477661e-17
120.5,1.088502501140895e-17
121.5,3.496383356215858e-18
122.5,1.0820531038395041e-18
123.5,2.9759268715701486e-19
124.5,8.85133228062696e-20
125.5,2.474851543842657e-20
126.5,7.155493860226977e-21
127.5,1.9087476096671713e-21
128.5,5.050156378708516e-22
129.5,1.3621956145217993e-22
130.5,3.2964937679005985e-23
131.5,8.444064496248941e-24
132.5,1.9828474819066436e-24
133.5,4.678783519684082e-25
134.5,1.1314304945654024e-25
135.5,2.3937381705041204e-26
136.5,5.545992834118324e-27
137.5,1.1617091056145579e-27
138.5,2.5355228207757424e-28
139.5,5.238311899785308e-29
140.5,9.913718978936054e-30
141.5,2.0437161012611884e-30
142.5,3.732999990278033e-31
143.5,6.91353968829155e-32
144.5,1.2332380556252336e-32
145.5,2.137415287908183e-33
146.5,3.451598346803707e-34
147.5,5.615288660425869e-35
148.5,8.540189502505024e-36
149.5,1.3435895102491215e-36
150.5,1.983379634680113e-37
151.5,2.987364154669948e-38
152.5,3.840955675938496e-39
153.5,5.362084543101829e-40
154.5,6.543472000252446e-41
155.5,8.552042261932256e-42
156.5,9.969115540600918e-43
157.5,1.1072078784381171e-43
158.5,1.2665305285159687e-44
159.5,1.2851435467492229e-45
160.5,1.2879213891111074e-46
161.5,1.1803858613041355e-47
162.5,1.1109743856131775e-48
163.5,9.525868290155028e-50
164.5,7.576760264672138e-51
165.5,5.9140443424217346e-52
166.5,4.182243310399405e-53
167.5,3.017029300516765e-54
168.5,1.972214784680179e-55
169.5,1.1061863156691703e-56
170.5,6.3527110391975856e-58
171.5,3.2618022426858045e-59
172.5,1.5821526276342288e-60
173.5,6.552496255439699e-62
174.5,2.5901184275644395e-63
175.5,9.322810254750064e-65
176.5,2.81987893489401e-66
177.5,7.815475431480179e-68
178.5,1.6965313333325217e-69
179.5,3.2803829327037096e-71
180.5,5.1031995856446164e-73
181.5,5.582853920923727e-75
182.5,4.085449908037935e-77
183.5,1.5029838271792806e-79
184.5,0.0
185.5,0.0
186.5,0.0
187.5,0.0
188.5,0.0
189.5,0.0
190.5,0.0
191.5,0.0
192.5,0.0
193.5,0.0
194.5,0.0
195.5,0.0
196.5,0.0
197.5,0.0
198.5,0.0
199.5,0.0
200.5,0.0
201.5,0.0
202.5,0.0
203.5,0.0
204.5,0.0
205.5,0.0
206.5,0.0
207.5,0.0
208.5,0.0
209.5,0.0
210.5,0.0
211.5,0.0
212.5,0.0
213.5,0.0
214.5,0.0
215.5,0.0
216.5,0.0
217.5,0.0
218.5,0.0
219.5,0.0
220.5,0.0
221.5,0.0
222.5,0.0
223.5,0.0
224.5,0.0
225.5,0.0
226.5,0.0
227.5,0.0
228.5,0.0
229.5,0.0
230.5,0.0
231.5,0.0
232.5,0.0
233.5,0.0
234.5,0.0
235.5,0.0
236.5,0.0
237.5,0.0
238.5,0.0
239.5,0.0
240.5,0.0
241.5,0.0
242.5,0.0
243.5,0.0
244.5,0.0
245.5,0.0
246.5,0.0
247.5,0.0
248.5,0.0
249.5,0.0
250.5,0.0
251.5,0.0
252.5,0.0
253.5,0.0
254.5,0.0
255.5,0.0
256.5,0.0
257.5,0.0
258.5,0.0
259.5,0.0
260.5,0.0
261.5,0.0
262.5,0.0
263.5,0.0
264.5,0.0
265.5,0.0
266.5,0.0
267.5,0.0
268.5,0.0
269.5,0.0
